,label,feature,normalised_value,raw_value,dp,unit,color,plotting_id,lab
0,PkC_ss,mfr,2.5443018449623667,150.7322930606118,/media/npyx/4TB_ssd1/optag_recordings/PkC/18-08-30_YC001/18-08-30_YC001_probe1,431,blue,0,hausser
1,PkC_ss,mfr,2.96092246300987,169.61920977039634,/media/npyx/4TB_ssd1/optag_recordings/PkC/18-08-30_YC001/18-08-30_YC001_probe1,437,blue,1,hausser
2,PkC_ss,mfr,0.7165453795456158,67.87349387328912,/media/npyx/4TB_ssd1/optag_recordings/PkC/18-08-30_YC001/18-08-30_YC001_probe1,487,blue,2,hausser
3,PkC_ss,mfr,0.5908987533080412,62.17747869349329,/media/npyx/4TB_ssd1/optag_recordings/PkC/18-08-30_YC001/18-08-30_YC001_probe1,492,blue,3,hausser
4,PkC_ss,mfr,0.7665460851395471,70.14020637160182,/media/npyx/4TB_ssd1/optag_recordings/PkC/18-08-30_YC001/18-08-30_YC001_probe1,494,blue,4,hausser
5,PkC_ss,mfr,0.3161124750672237,49.72042466086199,/media/npyx/4TB_ssd1/optag_recordings/PkC/18-08-30_YC001/18-08-30_YC001_probe1,512,blue,5,hausser
6,PkC_ss,mfr,-0.7806548994117083,0.0,/media/npyx/4TB_ssd1/optag_recordings/PkC/18-08-30_YC001/18-08-30_YC001_probe1,668,gray,6,hausser
7,GoC,mfr,-0.4065588053856313,16.95912651284249,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,423,green,7,hausser
8,GoC,mfr,-0.6379614460317531,6.46880939702184,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,1146,green,8,hausser
9,GoC,mfr,0.0793215325093279,38.98583636640456,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,473,green,9,hausser
10,GoC,mfr,-0.5296550115053349,11.378731084577288,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,495,green,10,hausser
11,GoC,mfr,0.2049951870163868,44.68307683523421,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,496,green,11,hausser
12,GoC,mfr,-0.2392019905688615,24.546015124050783,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,499,green,12,hausser
13,GoC,mfr,-0.6287851599945236,6.88480357153615,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,578,green,13,hausser
14,GoC,mfr,-0.5789276191025914,9.145025897050608,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,590,green,14,hausser
15,GoC,mfr,-0.6775594827839675,4.673687433267308,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,617,green,15,hausser
16,GoC,mfr,-0.6635812031506539,5.307373313763911,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,622,green,16,hausser
17,PkC_ss,mfr,1.3667916300125134,97.35150394147466,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,1195,blue,17,hausser
18,PkC_ss,mfr,1.2225651596456968,90.8131973499039,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,370,blue,18,hausser
19,PkC_ss,mfr,0.7921386224019212,71.30040848049362,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,1124,blue,19,hausser
20,PkC_ss,mfr,1.3194873786409016,95.20703144786305,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,1126,blue,20,hausser
21,PkC_ss,mfr,1.0520693168855972,83.08400526943093,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,783,blue,21,hausser
22,PkC_ss,mfr,-0.7806548994117083,0.0,/media/npyx/4TB_ssd1/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,826,gray,22,hausser
