,label,feature,normalised_value,raw_value,dp,unit,color,plotting_id
0,MFB,unit,-0.29672718640362333,258,1660_220816a_g1_loccar1_2,258,indigo,1100
1,MFB,unit,-0.28271675090453063,261,1660_220816a_g1_loccar1_2,261,indigo,1101
2,MFB,unit,0.9642120085147182,528,1660_220816a_g1_loccar1_2,528,indigo,1102
3,MFB,unit,-0.6189672028827551,189,1660_220816a_g1_loccar1_2,189,indigo,1103
4,MFB,unit,1.04360447634291,545,1660_220816a_g1_loccar1_2,545,indigo,1104
5,MFB,unit,1.0295940408438173,542,1660_220816a_g1_loccar1_2,542,indigo,1105
6,MFB,unit,1.0342641860101816,543,1660_220816a_g1_loccar1_2,543,indigo,1106
7,PkC_ss,unit,-1.1186727356837274,82,1660_220816a_g1_loccar1_2,82,darkblue,1107
8,PkC_ss,unit,-1.109332445350999,84,1660_220816a_g1_loccar1_2,84,darkblue,1108
9,PkC_cs,unit,-1.1140025905173632,83,1660_220816a_g1_loccar1_2,83,orangered,1109
10,PkC_cs,unit,0.7120241695310499,474,1660_220816a_g1_loccar1_2,474,orangered,11010
11,MFB,unit,-0.5862761867182055,196,1660_220817_g1_loccar1_2,196,indigo,11011
12,MFB,unit,1.389195218653863,619,1660_220817_g1_loccar1_2,619,indigo,11012
13,MFB,unit,1.3798549283211345,617,1660_220817_g1_loccar1_2,617,indigo,11013
14,MFB,unit,-0.2780466057381664,262,1660_220817_g1_loccar1_2,262,indigo,11014
15,MFB,unit,1.3144728959920353,603,1660_220817_g1_loccar1_2,603,indigo,11015
16,PkC_ss,unit,-0.8337938805355095,143,1660_220817_g1_loccar1_2,143,darkblue,11016
17,PkC_ss,unit,1.4825981219811475,639,1660_220817_g1_loccar1_2,639,darkblue,11017
18,PkC_ss,unit,-1.2074054938446477,63,1660_220817_g1_loccar1_2,63,darkblue,11018
19,PkC_cs,unit,-0.9598878000273436,116,1660_220817_g1_loccar1_2,116,orangered,11019
20,PkC_cs,unit,1.4779279768147833,638,1660_220817_g1_loccar1_2,638,orangered,11020
21,PkC_cs,unit,1.5012787026466043,643,1660_220817_g1_loccar1_2,643,orangered,11021
22,MLI,unit,-0.42282110589545746,231,1652_220718a_g2_NoCarForReal_Loccar1_2,231,crimson,11022
